variable,value,label
partner_religion_child_reclass,12,"other non-christian, please specify"
partner_religion_child_reclass,13,none
own_religion_child_reclass,-1,refused
own_religion_child_reclass,1,baptist - any denomination
own_religion_child_reclass,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
own_religion_child_reclass,3,catholic
own_religion_child_reclass,4,mormon
own_religion_child_reclass,5,jewish
own_religion_child_reclass,6,muslim
own_religion_child_reclass,7,hindu
own_religion_child_reclass,8,buddhist
own_religion_child_reclass,9,pentecostal
own_religion_child_reclass,10,eastern orthodox
own_religion_child_reclass,11,other christian
own_religion_child_reclass,12,"other non-christian, please specify"
own_religion_child_reclass,13,none
how_met_online,1,reconnected: already knew partner but reconnected online
how_met_online,2,"Mediated: Online connection was mediated by friends, family, or others"
how_met_online,3,Previously Strangers: Before online connection respondent and partner were strangers
how_met_online,4,We cannot tell from the existed data whether the respondent and partner knew each other prior to online connection
how_met_online,5,"Probably Did Not meet partner online, despite positive answer to q32 or q24"
either_internet,0,No
either_internet,1,Yes
either_internet_adjusted,-1,"probably not met online, q32 and q24 disagree"
either_internet_adjusted,0,not met online
either_internet_adjusted,1,met online
same_sex_couple,0,different sex couple
same_sex_couple,1,same-sex couple
potential_partner_gender_recodes,-1,refused
potential_partner_gender_recodes,1,male
potential_partner_gender_recodes,2,female
potential_partner_gender_recodes,3,"other, please specify"
alt_partner_gender,-1,refused
alt_partner_gender,1,male
alt_partner_gender,2,female
alt_partner_gender,3,"other, please specify"
how_long_ago_first_met_cat,1,0-2
how_long_ago_first_met_cat,2,3-5
how_long_ago_first_met_cat,3,6-10
how_long_ago_first_met_cat,4,11-15
how_long_ago_first_met_cat,5,16-20
how_long_ago_first_met_cat,6,21-30
how_long_ago_first_met_cat,7,31+
respondent_race,1,NH white
respondent_race,2, NH black
respondent_race,3, NH Amer Indian
respondent_race,4, NH Asian Pac Islander
respondent_race,5, NH Other
respondent_race,6,Hispanic
partner_race,1,NH white
partner_race,2, NH black
partner_race,3, NH Amer Indian
partner_race,4, NH Asian Pac Islander
partner_race,5, NH Other
partner_race,6,Hispanic
met_through_friends,0,not met through friends
met_through_friends,1,meet through friends
met_through_family,0,not met through family
met_through_family,1,met through family
met_through_as_neighbors,0,did not meet through or as neighbors
met_through_as_neighbors,1,met through or as neighbors
respondent_religion_at_16,-1,refused
respondent_religion_at_16,1,baptist - any denomination
respondent_religion_at_16,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
respondent_religion_at_16,3,catholic
respondent_religion_at_16,4,mormon
respondent_religion_at_16,5,jewish
respondent_religion_at_16,6,muslim
respondent_religion_at_16,7,hindu
respondent_religion_at_16,8,buddhist
respondent_religion_at_16,9,pentecostal
respondent_religion_at_16,10,eastern orthodox
respondent_religion_at_16,11,other christian
respondent_religion_at_16,12,"other non-christian, please specify"
respondent_religion_at_16,13,none
respondent_relig_16_cat,1,Protestant or oth Christian
respondent_relig_16_cat,2,Catholic
respondent_relig_16_cat,3,Jewish
respondent_relig_16_cat,4,Neither Christian nor Jewish
respondent_relig_16_cat,5,No religion
partner_religion_at_16,-1,refused
partner_religion_at_16,1,baptist - any denomination
partner_religion_at_16,2,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)"
partner_religion_at_16,3,catholic
partner_religion_at_16,4,mormon
partner_religion_at_16,5,jewish
partner_religion_at_16,6,muslim
partner_religion_at_16,7,hindu
partner_religion_at_16,8,buddhist
partner_religion_at_16,9,pentecostal
partner_religion_at_16,10,eastern orthodox
partner_religion_at_16,11,other christian
partner_religion_at_16,12,"other non-christian, please specify"
partner_religion_at_16,13,none
partner_relig_16_cat,1,Protestant or oth Christian
partner_relig_16_cat,2,Catholic
partner_relig_16_cat,3,Jewish
partner_relig_16_cat,4,Neither Christian nor Jewish
partner_relig_16_cat,5,No religion
married,0,not married
married,1,married
parental_approval,0,don't approve or don't know
parental_approval,1,approve
home_country_recode,-1,refused
home_country_recode,1,united states
home_country_recode,2,cambodia
home_country_recode,3,canada
home_country_recode,4,china
home_country_recode,5,colombia
home_country_recode,6,cuba
home_country_recode,7,dominican republic
home_country_recode,8,ecuador
home_country_recode,9,el salvador
home_country_recode,10,former yugoslavia
home_country_recode,11,france
home_country_recode,12,germany
home_country_recode,13,great britain
home_country_recode,14,greece
home_country_recode,15,guatemala
home_country_recode,16,guyana
home_country_recode,17,haiti
home_country_recode,18,honduras
home_country_recode,19,hungary
home_country_recode,20,india
home_country_recode,21,iran
home_country_recode,22,ireland
home_country_recode,23,italy
home_country_recode,24,jamaica
home_country_recode,25,japan
home_country_recode,26,korea
home_country_recode,27,laos
home_country_recode,28,mexico
home_country_recode,29,nicaragua
home_country_recode,30,peru
home_country_recode,31,philippines
home_country_recode,32,poland
home_country_recode,33,portugal
home_country_recode,34,russia
home_country_recode,35,taiwan
home_country_recode,36,thailand
home_country_recode,37,trinidad and tobago
home_country_recode,38,vietnam
home_country_recode,39,"another country, please specify"
US_raised,0,raised outside US
US_raised,1,raised in US
relationship_quality,1,very poor
relationship_quality,2,poor
relationship_quality,3,fair
relationship_quality,4,good
relationship_quality,5,excellent
coresident,0,No
coresident,1,Yes
pp2_afterp1,0,No second background survey
pp2_afterp1,1,Yes second background survey
pp2_pphhhead,-2,not asked
pp2_pphhhead,-1,refused
pp2_pphhhead,0,no
pp2_pphhhead,1,yes
pp2_pphhsize,-2,not asked
pp2_pphhsize,-1,refused
pp2_pphouse,-2,not asked
pp2_pphouse,-1,refused
pp2_pphouse,1,a one-family house detached from any other house
pp2_pphouse,2,a one-family house attached to one or more houses
pp2_pphouse,3,a building with 2 or more apartments
pp2_pphouse,4,a mobile home
pp2_pphouse,5,"boat, rv, van, etc."
pp2_ppincimp,-2,not asked
pp2_ppincimp,-1,refused
pp2_ppincimp,1,"less than $5,000"
pp2_ppincimp,2,"$5,000 to $7,499"
pp2_ppincimp,3,"$7,500 to $9,999"
pp2_ppincimp,4,"$10,000 to $12,499"
pp2_ppincimp,5,"$12,500 to $14,999"
pp2_ppincimp,6,"$15,000 to $19,999"
pp2_ppincimp,7,"$20,000 to $24,999"
pp2_ppincimp,8,"$25,000 to $29,999"
pp2_ppincimp,9,"$30,000 to $34,999"
pp2_ppincimp,10,"$35,000 to $39,999"
pp2_ppincimp,11,"$40,000 to $49,999"
pp2_ppincimp,12,"$50,000 to $59,999"
pp2_ppincimp,13,"$60,000 to $74,999"
pp2_ppincimp,14,"$75,000 to $84,999"
pp2_ppincimp,15,"$85,000 to $99,999"
pp2_ppincimp,16,"$100,000 to $124,999"
pp2_ppincimp,17,"$125,000 to $149,999"
pp2_ppincimp,18,"$150,000 to $174,999"
pp2_ppincimp,19,"$175,000 or more"
pp2_ppmarit,-2,not asked
pp2_ppmarit,-1,refused
pp2_ppmarit,1,married
pp2_ppmarit,2,widowed
pp2_ppmarit,3,divorced
pp2_ppmarit,4,separated
pp2_ppmarit,5,never married
pp2_ppmarit,6,living with partner
pp2_ppmsacat,-2,not asked
pp2_ppmsacat,-1,refused
pp2_ppmsacat,0,non-metro
pp2_ppmsacat,1,metro
pp2_ppeduc,-2,not asked
pp2_ppeduc,-1,refused
pp2_ppeduc,1,no formal education
pp2_ppeduc,2,"1st, 2nd, 3rd, or 4th grade"
pp2_ppeduc,3,5th or 6th grade
pp2_ppeduc,4,7th or 8th grade
pp2_ppeduc,5,9th grade
pp2_ppeduc,6,10th grade
pp2_ppeduc,7,11th grade
pp2_ppeduc,8,12th grade no diploma
pp2_ppeduc,9,high school graduate - high school diploma or the equivalent (ged)
pp2_ppeduc,10,"some college, no degree"
pp2_ppeduc,11,associate degree
pp2_ppeduc,12,bachelors degree
pp2_ppeduc,13,masters degree
pp2_ppeduc,14,professional or doctorate degree
pp2_ppeducat,-2,not asked
pp2_ppeducat,-1,refused
pp2_ppeducat,1,less than high school
pp2_ppeducat,2,high school
pp2_ppeducat,3,some college
pp2_ppeducat,4,bachelor's degree or higher
pp2_ppethm,-2,not asked
pp2_ppethm,-1,refused
pp2_ppethm,1,"white, non-hispanic"
pp2_ppethm,2,"black, non-hispanic"
pp2_ppethm,3,"other, non-hispanic"
pp2_ppethm,4,hispanic
pp2_ppethm,5,"2+ races, non-hispanic"
pp2_ppreg4,-2,not asked
pp2_ppreg4,-1,refused
pp2_ppreg4,1,northeast
pp2_ppreg4,2,midwest
pp2_ppreg4,3,south
pp2_ppreg4,4,west
pp2_ppreg9,1,new england
pp2_ppreg9,2,mid-atlantic
pp2_ppreg9,3,east-north central
pp2_ppreg9,4,west-north central
pp2_ppreg9,5,south atlantic
pp2_ppreg9,6,east-south central
pp2_ppreg9,7,west-south central
pp2_ppreg9,8,mountain
pp2_ppreg9,9,pacific
pp2_pprent,-2,not asked
pp2_pprent,-1,refused
pp2_pprent,1,owned or being bought by you or someone in your household
pp2_pprent,2,rented for cash
pp2_pprent,3,occupied without payment of cash rent
pp2_ppt01,-2,not asked
pp2_ppt01,-1,refused
pp2_ppt1317,-2,not asked
pp2_ppt1317,-1,refused
pp2_ppt18ov,-2,not asked
pp2_ppt18ov,-1,refused
pp2_ppt25,-2,not asked
pp2_ppt25,-1,refused
pp2_ppt612,-2,not asked
pp2_ppt612,-1,refused
pp2_ppwork,-2,not asked
pp2_ppwork,-1,refused
pp2_ppwork,1,working - as a paid employee
pp2_ppwork,2,working - self-employed
pp2_ppwork,3,not working - on temporary layoff from a job
pp2_ppwork,4,not working - looking for work
pp2_ppwork,5,not working - retired
pp2_ppwork,6,not working - disabled
pp2_ppwork,7,not working - other
pp2_ppnet,0,no
pp2_ppnet,1,yes
pp_igdr1,0,value not imputed
pp_igdr1,1,value imputed
pp_ieduc1,0,value not imputed
pp_ieduc1,1,value imputed
pp2_igdr2,0,value not imputed
pp2_igdr2,1,value imputed
pp2_ieduc2,0,value not imputed
pp2_ieduc2,1,value imputed
w2_deceased,0,not deceased
w2_deceased,1,apparently deceased
w2_multiname,1,includes multiple names
w2_panelstat,1,active kn panelist
w2_panelstat,2,withdrawn kn panelist
w2_donotcontact,1,withdrawn case on noncontact list
w2_donotcontact,2,all other cases
w2_assigned,1,assigned to survey
w2_assigned,2,not assigned to survey
w2_f1complete,0,did not complete followup survey
w2_f1complete,1,completed followup survey
w2_xmarry,1,married
w2_xmarry,2,partnered
w2_xss,1,"yes, qualified to ask about new domestic parterships"
w2_xss,2,no
w2_source,1,online
w2_source,2,telephone
w2_q1,-1,refused
w2_q1,1,yes
w2_q1,2,no
w2_q2,-1,refused
w2_q2,1,yes
w2_q2,2,no
w2_q3,-1,refused
w2_q3,1,divorce
w2_q3,2,separation with no divorce
w2_q3,3,"[partner] passed away, is deceased"
w2_q4,-1,refused
w2_q4,1,i wanted the [divorce/separation] more
w2_q4,2,[partner] wanted the [divorce/separation] more
w2_q4,3,we both equally wanted the [divorce/separation]
w2_q5,-1,refused
w2_q5,1,yes
w2_q5,2,no
w2_q6,-1,refused
w2_q6,1,yes
w2_q6,2,no
w2_q7,-1,refused
w2_q7,1,"yes, married [partner]"
w2_q7,2,"no, did not marry [partner]"
w2_q8,-1,refused
w2_q8,1,"no, we have not gotten a domestic partnership or civil union agreement"
w2_q8,2,"yes, we have gotten a domestic partnership or civil union agreement"
w2_q9,-1,refused
w2_q9,1,we broke up
w2_q9,2,"[partner] passed away, is deceased"
w2_q9,3,other (please describe)
w2_q10,-1,refused
w2_q10,1,i wanted to break up more
w2_q10,2,[partner] wanted to break up more
w2_q10,3,we both equally wanted to break up
w2_broke_up,0,still together
w2_broke_up,1,broke up
w2_broke_up,2,partner passed away
pp3_pphhhead,-2,Not asked
pp3_pphhhead,-1,refused
pp3_pphhhead,0,No
pp3_pphhhead,1,Yes
pp3_pphhsize,-2,not asked
pp3_pphhsize,-1,refused
pp3_pphouse,-2,Not asked
pp3_pphouse,-1,refused
pp3_pphouse,1,A one-family house detached from any other house
pp3_pphouse,2,A one-family house attached to one or more houses
pp3_pphouse,3,A building with 2 or more apartments
pp3_pphouse,4,A mobile home
pp3_pphouse,5,"Boat, RV, van, etc."
pp3_ppincimp,-2,Not asked
pp3_ppincimp,-1,refused
pp3_ppincimp,1,"Less than $5,000"
pp3_ppincimp,2,"$5,000 to $7,499"
pp3_ppincimp,3,"$7,500 to $9,999"
pp3_ppincimp,4,"$10,000 to $12,499"
pp3_ppincimp,5,"$12,500 to $14,999"
pp3_ppincimp,6,"$15,000 to $19,999"
pp3_ppincimp,7,"$20,000 to $24,999"
pp3_ppincimp,8,"$25,000 to $29,999"
pp3_ppincimp,9,"$30,000 to $34,999"
pp3_ppincimp,10,"$35,000 to $39,999"
pp3_ppincimp,11,"$40,000 to $49,999"
pp3_ppincimp,12,"$50,000 to $59,999"
pp3_ppincimp,13,"$60,000 to $74,999"
pp3_ppincimp,14,"$75,000 to $84,999"
pp3_ppincimp,15,"$85,000 to $99,999"
pp3_ppincimp,16,"$100,000 to $124,999"
pp3_ppincimp,17,"$125,000 to $149,999"
pp3_ppincimp,18,"$150,000 to $174,999"
pp3_ppincimp,19,"$175,000 or more"
pp3_ppmarit,-2,Not asked
pp3_ppmarit,-1,refused
pp3_ppmarit,1,Married
pp3_ppmarit,2,Widowed
pp3_ppmarit,3,Divorced
pp3_ppmarit,4,Separated
pp3_ppmarit,5,Never married
pp3_ppmarit,6,Living with partner
pp3_ppmsacat,-2,Not asked
pp3_ppmsacat,-1,refused
pp3_ppmsacat,0,Non-Metro
pp3_ppmsacat,1,Metro
pp3_pprent,-2,Not asked
pp3_pprent,-1,refused
pp3_pprent,1,Owned or being bought by you or someone in your household
pp3_pprent,2,Rented for cash
pp3_pprent,3,Occupied without payment of cash rent
pp3_ppreg4,-2,Not asked
pp3_ppreg4,-1,refused
pp3_ppreg4,1,Northeast
pp3_ppreg4,2,Midwest
pp3_ppreg4,3,South
pp3_ppreg4,4,West
pp3_ppreg9,1,New England
pp3_ppreg9,2,Mid-Atlantic
pp3_ppreg9,3,East-North Central
pp3_ppreg9,4,West-North Central
pp3_ppreg9,5,South Atlantic
pp3_ppreg9,6,East-South Central
pp3_ppreg9,7,West-South Central
pp3_ppreg9,8,Mountain
pp3_ppreg9,9,Pacific
interstate_mover_pp1_pp2,0,stayer
interstate_mover_pp1_pp2,1,mover
interstate_mover_pp2_pp3,0,stayer
interstate_mover_pp2_pp3,1,mover
interstate_mover_pp1_pp3,0,stayer
interstate_mover_pp1_pp3,1,mover
pp3_ppt01,-2,not asked
pp3_ppt01,-1,refused
pp3_ppt1317,-2,not asked
pp3_ppt1317,-1,refused
pp3_ppt18ov,-2,not asked
pp3_ppt18ov,-1,refused
pp3_ppt25,-2,not asked
pp3_ppt25,-1,refused
pp3_ppt612,-2,not asked
pp3_ppt612,-1,refused
pp3_ppwork,-2,Not asked
pp3_ppwork,-1,refused
pp3_ppwork,1,Working - as a paid employee
pp3_ppwork,2,Working - self-employed
pp3_ppwork,3,Not working - on temporary layoff from a job
pp3_ppwork,4,Not working - looking for work
pp3_ppwork,5,Not working - retired
pp3_ppwork,6,Not working - disabled
pp3_ppwork,7,Not working - other
pp3_ppnet,0,No
pp3_ppnet,1,Yes
pp3_ppeduc,-2,Not asked
pp3_ppeduc,-1,refused
pp3_ppeduc,1,No formal education
pp3_ppeduc,2,"1st, 2nd, 3rd, or 4th grade"
pp3_ppeduc,3,5th or 6th grade
pp3_ppeduc,4,7th or 8th grade
pp3_ppeduc,5,9th grade
pp3_ppeduc,6,10th grade
pp3_ppeduc,7,11th grade
pp3_ppeduc,8,12th grade NO DIPLOMA
pp3_ppeduc,9,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED)
pp3_ppeduc,10,"Some college, no degree"
pp3_ppeduc,11,Associate degree
pp3_ppeduc,12,Bachelors degree
pp3_ppeduc,13,Masters degree
pp3_ppeduc,14,Professional or Doctorate degree
pp3_ppeducat,-2,Not asked
pp3_ppeducat,-1,refused
pp3_ppeducat,1,Less than high school
pp3_ppeducat,2,High school
pp3_ppeducat,3,Some college
pp3_ppeducat,4,Bachelor's degree or higher
pp3_ppethm,-2,Not asked
pp3_ppethm,-1,refused
pp3_ppethm,1,"White, Non-Hispanic"
pp3_ppethm,2,"Black, Non-Hispanic"
pp3_ppethm,3,"Other, Non-Hispanic"
pp3_ppethm,4,Hispanic
pp3_ppethm,5,"2+ Races, Non-Hispanic"
pp3_newer,0,"no, newer pp3 data is Not available"
pp3_newer,1,"Yes, pp3 data is newer and available"
w2w3_combo_breakup,0,"still together, or lost to follow-up, or partner deceased"
w2w3_combo_breakup,1,broke up
w3_broke_up,0,still together
w3_broke_up,1,broke up
w3_broke_up,2,partner deceased
w3_xpartnered,0,unqualified bc unpartnered at main survery
w3_xpartnered,1,Qualified for follow-up at wave3
w3_xpartnered,2,unqualified bc broke up at wave 2
w3_xdeceased,0,not deceased
w3_xdeceased,1,apparently deceased
w3_multiname,1,reported multiple partner names in main survey
w3_xss,1,yes
w3_xss,2,no
w3_xlast,1,1 year ago
w3_xlast,2,2 years ago
w3_xqualified,0,unqualified for wave 3
w3_xqualified,1,qualified for wave 3
w3_status,1,active member of KN panel
w3_status,2,subject withdrew from KN panel
w3_status,3,"subject retired from KN panel, KN decision"
w3_status,4,Do Not Contact- subject withdrew and asked not to be contacted
w3_complete,0,no
w3_complete,1,yes
w3_source,1,Online
w3_source,2,Telephone
w3_xmarry,1,Married
w3_xmarry,2,Partnered
w3_xtype,1,same sex couple
w3_xtype,2,heterosexual couple
w3_q1,-1,Refused
w3_q1,1,yes
w3_q1,2,no
w3_q2,-1,Refused
w3_q2,1,yes
w3_q2,2,no
w3_q3,-1,Refused
w3_q3,1,divorce
w3_q3,2,separation with no divorce
w3_q3,3,"[xNameP] passed away, is deceased"
w3_q4,-1,Refused
w3_q4,1,I wanted the [divorce/separation] more.
w3_q4,2,[xNameP] wanted the [divorce/separation] more.
w3_q4,3,We both equally wanted the [divorce/separation].
w3_mbtiming_year,-1,Please Select
w3_mbtiming_year,2,2009
w3_mbtiming_year,3,2010
w3_mbtiming_year,4,2011
w3_mbtiming_month,1,January
w3_mbtiming_month,2,February
w3_mbtiming_month,3,March
w3_mbtiming_month,4,April
w3_mbtiming_month,5,May
w3_mbtiming_month,6,June
w3_mbtiming_month,7,July
w3_mbtiming_month,8,August
w3_mbtiming_month,9,September
w3_mbtiming_month,10,October
w3_mbtiming_month,11,November
w3_mbtiming_month,12,December
w3_q5,-1,Refused
w3_q5,1,yes
w3_q5,2,no
w3_q6,-1,Refused
w3_q6,1,yes
w3_q6,2,no
w3_q7,-1,Refused
w3_q7,1,"yes, married [xNameP]"
w3_q7,2,"no, did not marry [xNameP]"
w3_q8,-1,Refused
w3_q8,1,"No, we have not gotten a domestic partnership or civil union agreement"
w3_q8,2,"Yes, we have gotten a domestic partnership or civil union agreement"
w3_q9,-1,Refused
w3_q9,1,We broke up
w3_q9,2,"[xNameP] passed away, is deceased"
w3_q9,3,Other (please describe)
w3_q10,-1,Refused
w3_q10,1,I wanted to break up more
w3_q10,2,[xNameP] wanted to break up more
w3_q10,3,We both equally wanted to break up
w3_nonmbtiming_year,-1,Please Select
w3_nonmbtiming_year,2,2009
w3_nonmbtiming_year,3,2010
w3_nonmbtiming_year,4,2011
w3_nonmbtiming_month,1,January
w3_nonmbtiming_month,2,February
w3_nonmbtiming_month,3,March
w3_nonmbtiming_month,4,April
w3_nonmbtiming_month,5,May
w3_nonmbtiming_month,6,June
w3_nonmbtiming_month,7,July
w3_nonmbtiming_month,8,August
w3_nonmbtiming_month,9,September
w3_nonmbtiming_month,10,October
w3_nonmbtiming_month,11,November
w3_nonmbtiming_month,12,December
